#  NAME - LINK - DETAILS

# Patches for dwm
dwm  https://dwm.suckless.org/patches/attachaside/dwm-attachaside-6.2.diff        "Attach Aside - Add functionality to attach windows to the side"
dwm  https://dwm.suckless.org/patches/gaps/dwm-gaps-6.2.diff                      "Gaps - Implement gaps between windows"
dwm  https://dwm.suckless.org/patches/flexwintile/dwm-flexwintile-6.2.diff        "Flexible Window Tiling - Add flexible window tiling options"
dwm  https://dwm.suckless.org/patches/status2d/dwm-status2d-6.2.diff              "Status2d - Implement a status bar with 2D rendering"
dwm  https://dwm.suckless.org/patches/centeredmaster/dwm-centeredmaster-6.2.diff  "Centered Master - Center master window in layout"
dwm  https://dwm.suckless.org/patches/drawborder/dwm-drawborder-6.2.diff          "Draw Border - Add custom border colors"
dwm  https://dwm.suckless.org/patches/resizehints/dwm-resizehints-6.2.diff        "Resize Hints - Allow windows to respect resize hints"
dwm  https://dwm.suckless.org/patches/pertag/dwm-pertag-6.2.diff                  "Pertag - Add support for per-tag layouts"
dwm  https://dwm.suckless.org/patches/vanitygaps/dwm-vanitygaps-6.2.diff          "Vanity Gaps - Add gaps that can be managed independently"
dwm  https://dwm.suckless.org/patches/keyswap/dwm-keyswap-6.2.diff                "Keyswap - Add window key swapping functionality"
dwm  https://dwm.suckless.org/patches/alwayscenter/dwm-alwayscenter-6.2.diff      "Always Center - Keep windows centered in the layout"
dwm  https://dwm.suckless.org/patches/floatingclients/dwm-floatingclients-6.2.diff "Floating Clients - Manage floating windows more effectively"
dwm  https://dwm.suckless.org/patches/quickexit/dwm-quickexit-6.2.diff            "Quick Exit - Easily exit from dwm"
dwm  https://dwm.suckless.org/patches/forcefullscreentoggle/dwm-forcefullscreentoggle-6.2.diff "Force Fullscreen Toggle - Better fullscreen handling"
dwm  https://dwm.suckless.org/patches/rename/dwm-rename-6.2.diff                  "Rename - Rename windows for easier identification"
dwm  https://dwm.suckless.org/patches/centeredfloating/dwm-centeredfloating-6.2.diff "Centered Floating - Center floating windows on the screen"
dwm  https://dwm.suckless.org/patches/quicklayout/dwm-quicklayout-6.2.diff        "Quick Layout - Switch layouts quickly"
dwm  https://dwm.suckless.org/patches/blur/dwm-blur-6.2.diff                      "Blur Background - Apply a blur effect to windows"

# Patches for dmenu
dmenu https://tools.suckless.org/dmenu/patches/fuzzy/dmenu-fuzzy-5.0.diff          "Fuzzy Matching - Add fuzzy matching for improved search results"
dmenu https://tools.suckless.org/dmenu/patches/vertical/dmenu-vertical-5.0.diff    "Vertical Layout - Enable vertical menu layout"
dmenu https://tools.suckless.org/dmenu/patches/size/dmenu-size-5.0.diff            "Custom Size - Customizable menu size options"
dmenu https://tools.suckless.org/dmenu/patches/dmenu-echo/dmenu-echo-5.0.diff      "Echo - Enable echoing of dmenu commands"
dmenu https://tools.suckless.org/dmenu/patches/dmenu-cash/dmenu-cash-5.0.diff      "Cash - Add cash menu functionality"
dmenu https://tools.suckless.org/dmenu/patches/dmenu-extended/dmenu-extended-5.0.diff "Extended - Add extended menu features"
